continent	country	std.error	intercept	slope
Africa	Togo	0.0390153980857447	NA	0.382592307692307
Africa	Togo	1.33348595956326	40.2122769230769	NA
Africa	Tunisia	0.0260749679171478	NA	0.587843356643356
Africa	Tunisia	0.891202071991246	43.379620979021	NA
Africa	Uganda	0.0533132432064028	NA	0.121586013986014
Africa	Uganda	1.82216419061721	44.0320459207459	NA
Africa	Zambia	0.0757419975511147	NA	-0.0604251748251749
Africa	Zambia	2.58874432247788	47.778875990676	NA
Africa	Zimbabwe	0.120509676957373	NA	-0.0930209790209793
Africa	Zimbabwe	4.11883436024392	55.4072855477856	NA
Asia	Afghanistan	0.0204509335898207	NA	0.275328671328671
Asia	Afghanistan	0.698981277649725	29.3566375291376	NA
Asia	Bahrain	0.0274218228674574	NA	0.467507692307692
